taxon_id,scientific_name,common_name,kingdom,phylum,class,order,family,genus,taxon_group,threatened_species_body,conservation_status,listed_names,conservation_status_cleaned
86599,Euastacus eungella,Eungella Spiny Crayfish,Animalia,Arthropoda,Malacostraca,Decapoda,Parastacidae,Euastacus,"crabs, lobsters, shrimps, woodlice",qld_nc_act,Endangered,Euastacus eungella,Endangered
86599,Euastacus eungella,Eungella Spiny Crayfish,Animalia,Arthropoda,Malacostraca,Decapoda,Parastacidae,Euastacus,"crabs, lobsters, shrimps, woodlice",iucn_red_list,Critically Endangered,NA,Critically Endangered
86600,Euastacus fleckeri,"Red and Blue Spiny Crayfish, Flecker's Crayfish",Animalia,Arthropoda,Malacostraca,Decapoda,Parastacidae,Euastacus,"crabs, lobsters, shrimps, woodlice",iucn_red_list,Endangered,NA,Endangered
83144,Euastacus gamilaroi,"Gamilaroi Crayfish, Gamilaroi Spiny Crayfish, Hanging Rock Crayfish",Animalia,Arthropoda,Malacostraca,Decapoda,Parastacidae,Euastacus,"crabs, lobsters, shrimps, woodlice",iucn_red_list,Critically Endangered,NA,Critically Endangered
83146,Euastacus girurmulayn,Smooth Crayfish,Animalia,Arthropoda,Malacostraca,Decapoda,Parastacidae,Euastacus,"crabs, lobsters, shrimps, woodlice",iucn_red_list,Critically Endangered,NA,Critically Endangered
68363,Euastacus gumar,"Bloodclaw Crayfish, Blood Crayfish",Animalia,Arthropoda,Malacostraca,Decapoda,Parastacidae,Euastacus,"crabs, lobsters, shrimps, woodlice",iucn_red_list,Endangered,NA,Endangered
83147,Euastacus guruhgi,Swollen Crayfish,Animalia,Arthropoda,Malacostraca,Decapoda,Parastacidae,Euastacus,"crabs, lobsters, shrimps, woodlice",iucn_red_list,Critically Endangered,NA,Critically Endangered
81538,Euastacus guwinus,Tianjara Crayfish,Animalia,Arthropoda,Malacostraca,Decapoda,Parastacidae,Euastacus,"crabs, lobsters, shrimps, woodlice",iucn_red_list,Critically Endangered,NA,Critically Endangered
81539,Euastacus hirsutus,"Southern Hairy Crayfish, Hairy Crayfish",Animalia,Arthropoda,Malacostraca,Decapoda,Parastacidae,Euastacus,"crabs, lobsters, shrimps, woodlice",iucn_red_list,Endangered,NA,Endangered
86601,Euastacus hystricosus,Conondale Spiny Crayfish,Animalia,Arthropoda,Malacostraca,Decapoda,Parastacidae,Euastacus,"crabs, lobsters, shrimps, woodlice",qld_nc_act,Endangered,Euastacus hystricosus,Endangered
86601,Euastacus hystricosus,Conondale Spiny Crayfish,Animalia,Arthropoda,Malacostraca,Decapoda,Parastacidae,Euastacus,"crabs, lobsters, shrimps, woodlice",iucn_red_list,Endangered,NA,Endangered
83148,Euastacus jagabar,Blue-black Crayfish,Animalia,Arthropoda,Malacostraca,Decapoda,Parastacidae,Euastacus,"crabs, lobsters, shrimps, woodlice",iucn_red_list,Critically Endangered,NA,Critically Endangered
86602,Euastacus jagara,Jagara Hairy Crayfish,Animalia,Arthropoda,Malacostraca,Decapoda,Parastacidae,Euastacus,"crabs, lobsters, shrimps, woodlice",qld_nc_act,Critically Endangered,Euastacus jagara,Critically Endangered
